"","Seu vínculo atual com a USP é como","Gênero","Cor (IBGE)"
"617","Estudante","Feminino","Amarela"
"618","Estudante","Feminino","Preta"
"619","Docente","Masculino","Branca"
"620","Docente","Masculino","Branca"
"621","Estudante","Feminino","Branca"
"622","Estudante","Feminino","Branca"
"623","Estudante","Masculino","Branca"
"624","Estudante","Masculino","Amarela"
"625","Estudante","Feminino","Branca"
"626","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"627","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"628","Estudante","Feminino","Branca"
"629","Estudante","Feminino","Amarela"
"630","Estudante","Masculino","Parda"
"631","Docente","Feminino","Branca"
"632","Estudante","Feminino","Branca"
"633","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"634","Docente","Feminino","Branca"
"635","Estudante","Feminino","Branca"
"636","Docente","Feminino","Branca"
"637","Docente","Masculino","Branca"
"638","Estudante","Masculino","Branca"
"639","Docente","Masculino","Branca"
"640","Docente","Feminino","Branca"
"641","Docente","Feminino","Parda"
"642","Docente","Feminino","Branca"
"643","Docente","Masculino","Branca"
"644","Docente","Masculino","Branca"
"645","Estudante","Feminino","Branca"
"646","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"647","Docente","Masculino","Branca"
"648","Docente","Feminino","Branca"
"649","Docente","Masculino","Branca"
"650","Docente","Masculino","Branca"
"651","Estudante","Feminino","Parda"
"652","Docente","Feminino","Branca"
"653","Docente","Feminino","Branca"
"654","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"655","Docente","Feminino","Branca"
"656","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"657","Estudante","Feminino","Parda"
"658","Docente","Feminino","Branca"
"659","Docente","Feminino","Parda"
"660","Docente","Feminino","Branca"
"661","Docente","Masculino","Amarela"
"662","Estudante","Feminino","Branca"
"663","Docente","Masculino","Parda"
"664","Docente","Masculino","Parda"
"665","Docente","Masculino","Branca"
"666","Docente","Masculino","Branca"
"667","Docente","Masculino","Branca"
"668","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"669","Docente","Feminino","Branca"
"670","Docente","Feminino","Branca"
"671","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"672","Docente","Feminino","Parda"
"673","Docente","Feminino","Branca"
"674","Estudante","Não-binário","Branca"
"675","Estudante","Masculino","Branca"
"676","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"677","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"678","Estudante","Masculino","Branca"
"679","Docente","Feminino","Branca"
"680","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"681","Docente","Feminino","Branca"
"682","Estudante","Feminino","Branca"
"683","Docente","Masculino","Branca"
"684","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"685","Docente","Feminino","Branca"
"686","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"687","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"688","Estudante","Masculino","Branca"
"689","Estudante","Masculino","Branca"
"690","Estudante","Masculino","Preta"
"691","Docente","Masculino","Branca"
"692","Estudante","Feminino","Branca"
"693","Docente","Feminino","Branca"
"694","Docente","Feminino","Branca"
"695","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"696","Estudante","Feminino","Parda"
"697","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Preta"
"698","Docente","Feminino","Branca"
"699","Estudante","Feminino","Parda"
"700","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"701","Docente","Masculino","Branca"
"702","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"703","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"704","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"705","Docente","Feminino","Branca"
"706","Docente","Feminino","Branca"
"707","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"708","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"709","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"710","Estudante","Feminino","Branca"
"711","Estudante","Feminino","Parda"
"712","Estudante","Feminino","Branca"
"713","Docente","Masculino","Branca"
"714","Estudante","Feminino","Branca"
"715","Docente","Feminino","Branca"
"716","Docente","Feminino","Branca"
"717","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"718","Docente","Feminino","Branca"
"719","Estudante","Feminino","Preta"
"720","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"721","Estudante","Feminino","Amarela"
"722","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"723","Docente","Feminino","Branca"
"724","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Preta"
"725","Docente","Masculino","Amarela"
"726","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"727","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"728","Estudante","Feminino","Branca"
"729","Estudante","Feminino","Branca"
"730","Estudante","Feminino","Parda"
"731","Estudante","Feminino","Parda"
"732","Estudante","Feminino","Amarela"
"733","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"734","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"735","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"736","Estudante","Feminino","Branca"
"737","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"738","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"739","Docente","Feminino","Amarela"
"740","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"741","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"742","Estudante","Masculino","Branca"
"743","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"744","Estudante","Não-binário","Branca"
"745","Docente","Feminino","Branca"
"746","Docente","Feminino","Branca"
"747","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
